,fopt,kch,species,delta
555,0.57,3,Tc2,100.00620281581934
556,0.58,3,Tc2,113.78704949428443
557,0.59,3,Tc2,130.62580156171026
558,0.6,3,Tc2,151.4604148250227
559,0.61,3,Tc2,177.59115217488085
560,0.62,3,Tc2,210.84236483784886
561,0.63,3,Tc2,253.79688008584486
562,0.64,3,Tc2,310.1211966334287
563,0.65,3,Tc2,384.9695490088646
564,0.67,3,Tc2,552.6571478256382
565,0.68,3,Tc2,797.6857044811744
566,0.69,3,Tc2,1022.7117204770271
567,0.7,3,Tc2,1286.880507528936
568,0.71,3,Tc2,1564.6040822826862
569,0.72,3,Tc2,1820.2781446049796
570,0.73,3,Tc2,2025.9231078195808
571,0.74,3,Tc2,2172.1131251015163
572,0.75,3,Tc2,2264.5420901397224
573,0.76,3,Tc2,2315.0061635410716
574,0.77,3,Tc2,2335.192766296834
575,0.78,3,Tc2,2334.3926723126892
576,0.79,3,Tc2,2319.3329892107818
577,0.8,3,Tc2,2294.6954835273327
578,0.81,3,Tc2,2263.6947322109886
579,0.82,3,Tc2,2228.536588968308
580,0.83,3,Tc2,2190.742987288733
581,0.84,3,Tc2,2151.3721509591314
582,0.85,3,Tc2,2111.1657038606986
583,0.86,3,Tc2,2070.6468828825887
584,0.87,3,Tc2,2030.1865366101406
